"yr","cst","cst_n","pty_n","pv1","pvs1"
2010,94,"florida 8","write-in",11,4.99000016134232e-05
2010,94,"florida 8","tea party",8337,0.0378534719347954
2010,94,"florida 8","republican",123586,0.561132192611694
2010,94,"florida 8","democrat",84167,0.382153421640396
2010,95,"florida 9","democrat",66158,0.285667419433594
2010,95,"florida 9","republican",165433,0.714332580566406
2010,96,"florida 10","democrat",71313,0.34079310297966
2010,96,"florida 10","republican",137943,0.659206926822662
2010,97,"florida 11","republican",61817,0.403650134801865
2010,97,"florida 11","democrat",91328,0.596349835395813
2010,98,"florida 12","republican",102704,0.481432527303696
2010,98,"florida 12","democrat",87769,0.411423623561859
2010,98,"florida 12","tea party",22857,0.107143864035606
2010,99,"florida 13","republican",183811,0.688600957393646
2010,99,"florida 13","democrat",83123,0.311399072408676
2010,100,"florida 14","no party affiliation",11825,0.043048370629549
2010,100,"florida 14","republican",188341,0.685646772384644
2010,100,"florida 14","democrat",74525,0.271304845809937
2010,101,"florida 15","republican",157079,0.647284030914307
2010,101,"florida 15","democrat",85595,0.352715998888016
2010,102,"florida 16","write-in",151,0.000622006016783416
2010,102,"florida 16","republican",162285,0.66849148273468
2010,102,"florida 16","democrat",80327,0.330886512994766
2010,103,"florida 17","no party affiliation",17009,0.137869819998741
2010,103,"florida 17","democrat",106361,0.862130165100098
2010,104,"florida 18","democrat",46235,0.311147749423981
2010,104,"florida 18","republican",102360,0.688852250576019
2010,105,"florida 19","republican",78733,0.373037874698639
2010,105,"florida 19","democrat",132098,0.625881850719452
2010,105,"florida 19","write-in",228,0.00108026701491326
2010,106,"florida 20","democrat",100787,0.601462066173553
2010,106,"florida 20","write-in",3,1.78999998752261e-05
2010,106,"florida 20","no party affiliation",1272,0.00759085780009627
2010,106,"florida 20","no party affiliation",1663,0.00992421060800552
2010,106,"florida 20","republican",63845,0.381004959344864
2010,107,"florida 21","republican",-992,1
2010,108,"florida 22","democrat",99804,0.456363677978516
2010,108,"florida 22","republican",118890,0.543636322021484
2010,109,"florida 23","republican",26414,0.2088393419981
2010,109,"florida 23","democrat",100066,0.791160643100739
2010,110,"florida 24","write-in",115,0.000469327991595492
